Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_848_1 	Loose	31.56	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	158.39
megahit_849_6 	Loose	37.7	carbapenem	antibiotic inactivation	EVM beta-lactamase	109.51
megahit_2166_3 	Loose	25.51	peptide antibiotic	antibiotic inactivation	viomycin phosphotransferase	101.39
megahit_5069_4 	Loose	38.46	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	91.04
megahit_5515_1 	Loose	23.45	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	98.28
megahit_5962_2 	Loose	32.48	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	162.88
megahit_6101_2 	Loose	28.36	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	156.85
megahit_7129_1 	Loose	32.29	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	104.07
megahit_7129_2 	Loose	41.15	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	101.74
megahit_7129_5 	Loose	21.99	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.18
megahit_7907_2 	Loose	26.48	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	111.27
megahit_7907_3 	Loose	50.88	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	35.62
megahit_8597_1 	Loose	31.97	peptide antibiotic	antibiotic inactivation	viomycin phosphotransferase	102.09
megahit_9201_2 	Loose	30.87	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.35
megahit_9247_2 	Loose	28.95	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	90.57
megahit_9247_7 	Loose	33.82	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	97.28
megahit_10651_1 	Loose	25.0	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	47.52
megahit_11160_1 	Loose	33.83	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	87.18
megahit_12541_6 	Loose	29.63	carbapenem; cephalosporin; penam	antibiotic inactivation	THIN-B beta-lactamase	146.20
megahit_12541_15 	Loose	23.82	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	104.74
megahit_12607_3 	Loose	38.81	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	99.57
megahit_13009_3 	Loose	36.65	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.81
megahit_13195_2 	Loose	30.39	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	101.69
megahit_13300_2 	Loose	28.82	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	46.53
