Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_2021_8 	Loose	23.91	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00
megahit_2021_9 	Loose	36.41	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.49
megahit_2021_15 	Loose	27.23	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	186.05
megahit_2021_28 	Loose	29.74	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	143.41
megahit_2021_46 	Loose	31.78	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	81.05
megahit_7171_7 	Loose	27.06	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	82.03
megahit_15884_10 	Loose	51.61	aminoglycoside antibiotic	antibiotic inactivation	amp acetyltransferase	80.66
megahit_15884_23 	Loose	80.77	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.25
megahit_15884_28 	Loose	26.12	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	111.52
megahit_15884_29 	Loose	76.4	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	100.25
megahit_16148_8 	Loose	25.95	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	36.42
megahit_16148_32 	Loose	36.21	glycylcycline; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	48.18
megahit_19507_3 	Loose	41.17	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.86
megahit_19507_4 	Loose	38.1	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.86
megahit_20091_23 	Loose	48.15	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	76.42
megahit_20486_5 	Loose	33.06	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	54.07
megahit_20486_10 	Loose	48.55	glycopeptide antibiotic	antibiotic target alteration	Van ligase	98.86
megahit_20662_24 	Loose	33.65	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	102.29
megahit_20662_25 	Loose	30.13	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	137.60
megahit_20963_11 	Loose	28.72	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	68.23
megahit_20963_36 	Loose	23.46	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	96.40
megahit_21168_9 	Loose	31.0	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	89.65
megahit_21168_17 	Loose	22.06	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	305.46
megahit_21168_31 	Loose	30.57	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	47.43
megahit_21168_33 	Loose	39.17	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase	100.00
megahit_21168_90 	Loose	33.62	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	52.19
megahit_21168_99 	Loose	34.58	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	156.14
megahit_21168_122 	Loose	31.79	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	113.59
megahit_21168_126 	Loose	37.93	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	103.86
megahit_21168_137 	Loose	31.08	carbapenem; cephalosporin; penam	antibiotic inactivation	EBR beta-lactamase	235.32
