Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_2572_1 	Loose	37.66	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	30.53
megahit_6078_3 	Loose	44.93	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	105.26
megahit_6078_4 	Loose	37.25	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	80.30
megahit_8849_4 	Loose	28.51	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	121.71
megahit_8849_5 	Loose	28.07	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	139.92
megahit_8849_16 	Loose	32.06	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.12
megahit_8849_17 	Loose	30.26	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	49.47
megahit_8849_49 	Loose	25.61	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	118.10
megahit_8849_50 	Loose	76.59	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	100.25
megahit_8849_51 	Loose	76.05	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	100.14
megahit_9331_3 	Loose	73.54	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	101.35
megahit_9331_21 	Loose	31.29	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	47.43
megahit_9370_8 	Loose	27.5	peptide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	68.03
megahit_11555_1 	Loose	36.0	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	65.05
megahit_11555_6 	Loose	29.63	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	75.90
megahit_15738_3 	Loose	28.99	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	75.22
megahit_15738_7 	Loose	43.75	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.26
megahit_15738_9 	Loose	29.92	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	121.67
megahit_15738_10 	Loose	37.85	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	98.57
megahit_15738_13 	Loose	30.8	fluoroquinolone antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	96.20
megahit_15973_2 	Loose	55.56	rifamycin antibiotic	antibiotic inactivation	rifampin ADP-ribosyltransferase (Arr)	32.00
megahit_18167_1 	Loose	23.64	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	48.61
megahit_18167_2 	Loose	30.11	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	146.58
megahit_18967_20 	Loose	32.52	penam	antibiotic target replacement	methicillin resistant PBP2	100.75
megahit_18967_25 	Loose	25.59	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	97.39
megahit_18967_32 	Loose	30.0	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	145.96
megahit_18967_35 	Loose	41.43	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.04
megahit_19192_2 	Loose	32.14	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	87.39
megahit_19219_2 	Loose	39.12	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	101.61
megahit_19219_4 	Loose	30.52	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	158.14
megahit_19429_1 	Loose	47.18	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	48.87
megahit_19429_2 	Loose	32.12	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.15
megahit_19701_2 	Loose	34.48	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	100.68
megahit_20442_2 	Loose	28.26	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	63.40
megahit_20442_5 	Loose	31.58	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	81.40
