Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_1814_2 	Loose	32.06	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	39.75
megahit_1814_16 	Loose	27.54	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	106.37
megahit_3084_3 	Loose	42.11	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	24.57
megahit_7804_4 	Loose	33.64	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	29.15
megahit_10938_1 	Loose	37.01	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	45.60
megahit_11419_8 	Loose	39.68	rifamycin antibiotic	antibiotic inactivation	rifampin monooxygenase	98.96
megahit_11804_4 	Loose	24.14	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	308.75
megahit_12711_7 	Loose	29.52	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	98.92
megahit_17798_3 	Loose	36.89	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	70.85
megahit_17798_15 	Loose	34.91	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.97
megahit_17884_12 	Loose	42.99	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.91
megahit_17884_14 	Loose	35.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	87.43
megahit_17884_17 	Loose	28.73	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	121.74
megahit_17884_18 	Loose	49.18	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	99.05
megahit_18920_1 	Loose	42.99	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	105.48
megahit_18920_2 	Loose	30.23	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.89
megahit_18920_5 	Loose	32.7	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	97.83
megahit_20277_2 	Loose	21.91	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	110.50
megahit_20773_5 	Loose	30.36	carbapenem	antibiotic inactivation	ALG6 beta-lactamases	85.22
megahit_20773_8 	Loose	30.77	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	137.25
megahit_20773_9 	Loose	46.64	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	101.29
megahit_20809_22 	Loose	52.24	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	20.00
megahit_20809_29 	Loose	37.18	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	96.38
megahit_20809_30 	Loose	51.28	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	88.68
megahit_20809_41 	Loose	47.06	aminoglycoside antibiotic	antibiotic inactivation	AAC(3); AAC(6')	52.10
megahit_20809_54 	Loose	30.13	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.84
megahit_20809_59 	Loose	26.8	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	94.18
megahit_20809_62 	Loose	23.23	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	91.16
megahit_20809_77 	Loose	24.49	bicyclomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	110.95
megahit_21478_31 	Loose	32.37	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	116.89
megahit_21478_34 	Loose	39.67	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	103.22
megahit_21478_35 	Loose	31.47	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.86
megahit_21853_2 	Loose	41.07	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	35.71
megahit_21863_2 	Loose	26.01	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.29
megahit_23509_7 	Loose	51.67	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	28.70
megahit_24146_5 	Loose	43.72	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	48.12
megahit_24146_6 	Loose	40.0	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	50.00
megahit_24146_17 	Loose	26.79	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	90.91
megahit_26273_21 	Loose	36.31	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	98.78
megahit_26273_27 	Loose	28.16	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	132.10
megahit_26273_35 	Loose	29.81	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	82.95
megahit_26273_69 	Loose	28.33	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.80
megahit_26273_70 	Loose	24.23	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.35
megahit_26273_82 	Loose	26.97	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	92.96
megahit_26273_92 	Loose	54.1	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	95.33
megahit_28698_3 	Loose	29.17	penam	antibiotic target replacement	methicillin resistant PBP2	122.58
megahit_31103_3 	Loose	32.61	bicyclomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	114.18
megahit_31103_6 	Loose	30.74	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	107.07
megahit_31103_7 	Loose	38.14	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	103.45
megahit_34060_21 	Loose	33.66	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	78.47
megahit_34060_24 	Loose	28.23	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	43.77
megahit_34060_27 	Loose	27.31	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	97.34
megahit_35340_4 	Loose	21.97	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	113.70
megahit_36603_5 	Loose	29.91	peptide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	68.74
megahit_36603_12 	Loose	37.63	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	99.49
megahit_36603_14 	Loose	30.0	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	65.04
megahit_36603_17 	Loose	33.2	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	105.23
megahit_36603_20 	Loose	28.12	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	33.78
megahit_36603_31 	Loose	39.76	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	100.72
megahit_36603_33 	Loose	46.97	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	36.52
megahit_36603_34 	Loose	46.36	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	61.03
megahit_36603_43 	Loose	34.69	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.39
megahit_37562_8 	Loose	25.38	peptide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	94.88
megahit_37562_9 	Loose	30.61	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	123.81
megahit_37562_13 	Loose	27.02	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	83.49
megahit_38137_2 	Loose	30.59	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	26.99
megahit_38137_3 	Loose	37.13	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	68.94
megahit_39613_5 	Loose	27.98	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	102.37
megahit_39921_1 	Loose	71.25	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	81.47
megahit_39921_7 	Loose	34.58	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.12
megahit_39921_21 	Loose	24.7	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	85.58
megahit_39921_28 	Loose	36.84	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	82.95
megahit_39921_42 	Loose	31.58	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	125.00
megahit_40357_1 	Loose	34.94	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	100.31
megahit_40561_6 	Loose	30.37	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	147.98
megahit_42812_1 	Loose	43.89	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.18
megahit_46160_6 	Loose	34.94	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	94.29
megahit_47067_2 	Loose	46.52	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	100.00
megahit_47067_3 	Loose	34.95	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	98.63
megahit_50391_1 	Loose	24.83	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	85.42
megahit_50548_1 	Loose	34.44	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	15.81
megahit_50548_16 	Loose	40.14	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.76
megahit_50548_34 	Loose	29.78	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	90.82
megahit_50548_45 	Loose	32.19	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	95.73
megahit_50548_52 	Loose	30.48	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (G748)	100.71
megahit_51646_1 	Loose	33.17	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	37.89
megahit_51646_5 	Loose	31.54	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	96.59
megahit_53777_2 	Loose	26.61	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	104.41
megahit_53777_8 	Loose	29.53	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	80.65
megahit_54839_4 	Loose	37.38	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.32
megahit_54839_10 	Loose	34.07	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.20
megahit_55457_6 	Loose	28.95	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00
megahit_55457_13 	Loose	31.43	peptide antibiotic	antibiotic target alteration	lipid A phosphatase	99.58
megahit_55457_14 	Loose	24.36	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	78.61
megahit_55457_32 	Loose	36.43	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	143.35
megahit_55457_42 	Loose	29.86	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.76
