Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_1900_8 	Loose	35.0	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	65.05
megahit_7324_2 	Loose	31.58	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	97.14
megahit_7448_6 	Loose	27.06	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	68.80
megahit_7448_21 	Loose	35.48	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.45
megahit_7448_29 	Loose	28.71	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	77.72
megahit_8343_1 	Loose	30.57	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.61
megahit_12443_7 	Loose	37.36	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	107.39
megahit_12443_12 	Loose	27.66	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	44.22
megahit_17055_6 	Loose	36.33	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	96.64
megahit_17055_14 	Loose	29.92	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	92.73
megahit_18608_4 	Loose	27.27	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	82.39
megahit_18608_13 	Loose	27.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	129.55
megahit_18608_24 	Loose	27.21	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	91.11
megahit_19769_3 	Loose	28.57	glycylcycline; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	98.79
megahit_19769_26 	Loose	37.1	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	62.97
megahit_21326_7 	Loose	36.28	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	37.89
megahit_21326_14 	Loose	28.98	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	91.02
megahit_22253_6 	Loose	26.06	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	89.26
megahit_22320_13 	Loose	38.73	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.21
megahit_22320_14 	Loose	34.49	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.52
megahit_22320_16 	Loose	36.39	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase	103.44
megahit_23678_1 	Loose	39.02	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	91.10
megahit_23678_6 	Loose	38.18	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	84.78
megahit_23678_11 	Loose	35.71	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	83.77
megahit_23900_16 	Loose	61.76	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	100.12
megahit_26880_14 	Loose	34.12	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.76
megahit_26880_22 	Loose	32.58	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	138.76
megahit_26880_24 	Loose	31.03	penam	antibiotic target replacement	methicillin resistant PBP2	117.89
megahit_27605_1 	Loose	24.05	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	54.10
megahit_29887_1 	Loose	46.55	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	109.43
megahit_29887_8 	Loose	68.97	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.71
megahit_29887_9	Strict	68.33	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.70
megahit_30586_1 	Loose	29.7	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	103.60
megahit_31145_18 	Loose	33.33	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	77.27
megahit_32214_6 	Loose	35.37	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	101.79
megahit_32538_2 	Loose	25.14	lincosamide antibiotic	antibiotic target alteration	Llm 23S ribosomal RNA methyltransferase	134.49
megahit_33514_2 	Loose	39.81	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.66
megahit_34407_6 	Loose	31.36	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.97
megahit_34578_4 	Loose	22.36	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	69.12
megahit_34578_13 	Loose	32.31	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	122.05
megahit_34578_27 	Loose	33.04	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	72.62
megahit_34578_28 	Loose	29.96	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	74.05
megahit_34578_41 	Loose	25.22	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.23
megahit_34578_42 	Loose	43.5	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.18
megahit_34578_46 	Loose	21.65	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.78
megahit_37272_2 	Loose	26.67	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	159.74
