Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_3750_1 	Loose	26.67	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	72.41
megahit_3966_6 	Loose	40.0	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	67.05
megahit_3966_11 	Loose	44.78	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	102.19
megahit_3966_12 	Loose	32.56	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	156.25
megahit_4155_2 	Loose	33.96	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	86.79
megahit_4551_10 	Loose	23.85	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	94.36
megahit_4589_1 	Loose	40.0	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanU	96.00
megahit_4805_2 	Loose	23.08	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	57.34
megahit_4860_3 	Loose	32.26	aminoglycoside antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	93.43
megahit_5446_1 	Loose	35.81	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.19
megahit_5477_2 	Loose	31.7	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	76.40
megahit_5701_4 	Loose	35.53	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	64.48
megahit_6354_2 	Loose	29.8	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	91.13
megahit_6354_3 	Loose	46.02	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	102.74
megahit_8139_1 	Loose	32.73	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	105.54
megahit_9045_1 	Loose	41.41	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	18.97
megahit_9087_2 	Loose	33.05	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	140.31
megahit_10205_1 	Loose	32.51	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	162.18
megahit_10349_1 	Loose	26.15	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	72.75
megahit_10398_1 	Loose	36.24	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	46.56
megahit_10586_1 	Loose	38.03	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	112.63
megahit_10586_2 	Loose	41.41	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanK	111.20
megahit_10586_7 	Loose	40.35	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.04
megahit_10586_10 	Loose	34.75	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	114.84
megahit_10641_1 	Loose	28.1	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.29
megahit_10752_1 	Loose	35.29	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)	54.49
megahit_10829_2 	Loose	38.78	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	228.35
megahit_11525_8 	Loose	53.19	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	6.84
megahit_11653_9 	Loose	52.94	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	74.77
megahit_12622_1 	Loose	29.55	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	85.54
megahit_12703_10 	Loose	36.09	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase	103.44
megahit_13016_3 	Loose	31.19	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	80.07
megahit_13284_1 	Loose	21.98	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	86.98
megahit_13284_2 	Loose	41.96	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.12
megahit_13284_6 	Loose	50.0	nucleoside antibiotic	reduced permeability to antibiotic	tunicamycin resistance protein	22.84
megahit_13550_3 	Loose	39.8	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.31
megahit_13651_3 	Loose	21.11	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	80.75
megahit_13727_3 	Loose	30.34	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	98.90
megahit_14249_1 	Loose	36.23	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	40.31
megahit_14350_1 	Loose	31.3	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	83.01
megahit_14404_7 	Loose	24.17	aminoglycoside antibiotic	antibiotic inactivation	APH(9)	79.76
megahit_14582_2 	Loose	31.82	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	19.67
megahit_14803_1 	Loose	23.0	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	100.68
megahit_15150_3 	Loose	36.07	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	95.94
megahit_15290_2 	Loose	36.32	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	23.12
megahit_15756_2 	Loose	29.18	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	42.11
megahit_16223_1 	Loose	38.98	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	48.55
megahit_16384_3 	Loose	23.16	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	95.70
megahit_16672_17 	Loose	47.64	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	103.51
megahit_16672_18 	Loose	33.33	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	135.92
megahit_16672_21 	Loose	32.88	cephalosporin; penam	antibiotic inactivation	subclass B3 LRA beta-lactamase	28.15
megahit_17075_1 	Loose	34.67	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	10.05
megahit_17075_2 	Loose	29.0	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	148.39
